epoch,loss,val_acc,test_acc,epoch_time_s
1,1.9499,0.1560,0.1440,0.040
2,1.9468,0.1560,0.1470,0.032
3,1.9418,0.4300,0.4290,0.030
4,1.9373,0.3260,0.3690,0.029
5,1.9310,0.1220,0.1380,0.026
6,1.9202,0.2060,0.2230,0.032
7,1.8999,0.2200,0.2350,0.032
8,1.8863,0.2580,0.2480,0.031
9,1.8596,0.3080,0.3240,0.034
10,1.8290,0.3580,0.3610,0.034
11,1.7743,0.4000,0.4110,0.030
12,1.6969,0.5080,0.5350,0.032
13,1.6233,0.5980,0.5950,0.032
14,1.5298,0.6120,0.6060,0.028
15,1.4271,0.6180,0.6210,0.032
16,1.2859,0.6440,0.6380,0.024
17,1.1820,0.6420,0.6500,0.020
18,1.0351,0.6520,0.6630,0.030
19,0.9338,0.6900,0.7170,0.030
20,0.8705,0.7260,0.7320,0.030
21,0.7447,0.7460,0.7550,0.032
22,0.6598,0.7260,0.7390,0.028
23,0.5779,0.7460,0.7570,0.031
24,0.5224,0.7380,0.7480,0.031
25,0.3831,0.7280,0.7370,0.028
26,0.3443,0.7440,0.7510,0.026
27,0.2539,0.7660,0.7660,0.033
28,0.2554,0.7680,0.7850,0.034
29,0.2259,0.7700,0.7810,0.037
30,0.1995,0.7560,0.7650,0.036
31,0.1396,0.7360,0.7460,0.031
32,0.1296,0.7420,0.7550,0.031
33,0.1154,0.7680,0.7730,0.032
34,0.1078,0.7720,0.7800,0.032
35,0.1129,0.7600,0.7630,0.027
36,0.0942,0.7220,0.7370,0.031
37,0.0864,0.7300,0.7370,0.032
38,0.0751,0.7680,0.7610,0.027
39,0.0719,0.7740,0.7810,0.027
40,0.0440,0.7720,0.7800,0.030
41,0.0555,0.7740,0.7740,0.040
42,0.0400,0.7380,0.7380,0.034
43,0.0422,0.7360,0.7350,0.031
44,0.0681,0.7540,0.7480,0.031
45,0.0352,0.7640,0.7650,0.029
46,0.0319,0.7680,0.7700,0.033
47,0.0370,0.7720,0.7760,0.030
48,0.0334,0.7700,0.7730,0.032
49,0.0509,0.7600,0.7580,0.028
50,0.0399,0.7540,0.7560,0.031
51,0.0242,0.7560,0.7510,0.029
52,0.0250,0.7540,0.7510,0.032
53,0.0283,0.7520,0.7480,0.032
54,0.0280,0.7580,0.7530,0.028
55,0.0175,0.7560,0.7540,0.030
56,0.0331,0.7580,0.7600,0.030
57,0.0492,0.7540,0.7620,0.020
58,0.0208,0.7520,0.7510,0.040
59,0.0295,0.7580,0.7510,0.024
60,0.0288,0.7620,0.7610,0.026
61,0.0291,0.7560,0.7670,0.037
62,0.0281,0.7460,0.7660,0.027
63,0.0409,0.7320,0.7460,0.021
64,0.0511,0.7580,0.7680,0.030
65,0.0231,0.7500,0.7530,0.035
66,0.0336,0.7480,0.7380,0.026
67,0.0410,0.7480,0.7410,0.024
68,0.0221,0.7380,0.7220,0.025
69,0.0495,0.7340,0.7300,0.031
70,0.0199,0.7440,0.7460,0.032
71,0.0380,0.7680,0.7770,0.030
72,0.0429,0.7700,0.7660,0.027
73,0.0234,0.7700,0.7600,0.031
74,0.0406,0.7640,0.7520,0.034
75,0.0391,0.7500,0.7300,0.033
76,0.0406,0.7640,0.7560,0.033
77,0.0712,0.7740,0.7720,0.031
78,0.0372,0.7740,0.7680,0.038
79,0.0562,0.7560,0.7640,0.040
80,0.0272,0.7400,0.7330,0.039
81,0.0382,0.7180,0.6980,0.040
82,0.0350,0.7500,0.7280,0.031
83,0.0429,0.7800,0.7650,0.032
84,0.0351,0.7680,0.7770,0.025
85,0.0313,0.7620,0.7750,0.027
86,0.0419,0.7620,0.7790,0.033
87,0.0361,0.7640,0.7550,0.035
88,0.0279,0.7500,0.7310,0.028
89,0.0266,0.7600,0.7270,0.027
90,0.0280,0.7680,0.7500,0.031
91,0.0433,0.7680,0.7610,0.032
92,0.0441,0.7540,0.7530,0.032
93,0.0317,0.7420,0.7580,0.035
94,0.0249,0.7680,0.7550,0.037
95,0.0290,0.7640,0.7520,0.028
96,0.0177,0.7540,0.7470,0.030
97,0.0241,0.7600,0.7500,0.023
98,0.0224,0.7740,0.7610,0.032
99,0.0264,0.7700,0.7680,0.024
100,0.0290,0.7560,0.7650,0.035
101,0.0324,0.7280,0.7530,0.042
102,0.0178,0.7260,0.7400,0.028
103,0.0163,0.7380,0.7390,0.031
104,0.0396,0.7460,0.7370,0.029
105,0.0206,0.7540,0.7510,0.036
106,0.0287,0.7660,0.7530,0.037
107,0.0264,0.7640,0.7580,0.031
108,0.0200,0.7620,0.7680,0.032
109,0.0229,0.7500,0.7540,0.030
110,0.0394,0.7500,0.7530,0.030
111,0.0246,0.7640,0.7720,0.032
112,0.0203,0.7660,0.7690,0.028
113,0.0202,0.7760,0.7650,0.032
114,0.0183,0.7740,0.7610,0.026
115,0.0263,0.7580,0.7530,0.024
116,0.0128,0.7420,0.7370,0.028
117,0.0203,0.7280,0.7290,0.030
118,0.0257,0.7460,0.7470,0.032
119,0.0296,0.7560,0.7600,0.030
120,0.0235,0.7680,0.7560,0.031
121,0.0166,0.7660,0.7570,0.033
122,0.0289,0.7580,0.7470,0.032
123,0.0144,0.7440,0.7560,0.030
124,0.0207,0.7420,0.7510,0.027
125,0.0174,0.7520,0.7570,0.033
126,0.0218,0.7600,0.7700,0.030
127,0.0152,0.7640,0.7590,0.032
128,0.0202,0.7640,0.7640,0.030
129,0.0354,0.7660,0.7540,0.030
130,0.0165,0.7220,0.7190,0.027
131,0.0206,0.7220,0.7120,0.027
132,0.0261,0.7380,0.7290,0.028
133,0.0416,0.7620,0.7610,0.028
134,0.0185,0.7700,0.7660,0.030
135,0.0224,0.7720,0.7720,0.030
136,0.0210,0.7680,0.7700,0.030
137,0.0151,0.7600,0.7690,0.027
138,0.0171,0.7660,0.7580,0.029
139,0.0327,0.7520,0.7400,0.034
140,0.0191,0.7360,0.7210,0.034
141,0.0449,0.7560,0.7520,0.038
142,0.0264,0.7840,0.7710,0.028
143,0.0304,0.7560,0.7660,0.038
144,0.0337,0.7560,0.7700,0.028
145,0.0409,0.7480,0.7620,0.028
146,0.0170,0.7520,0.7500,0.030
147,0.0449,0.7540,0.7490,0.026
148,0.0237,0.7660,0.7540,0.036
149,0.0333,0.7720,0.7710,0.030
150,0.0198,0.7680,0.7690,0.028
151,0.0156,0.7660,0.7560,0.031
152,0.0301,0.7540,0.7280,0.030
153,0.0331,0.7200,0.7230,0.026
154,0.0351,0.7500,0.7500,0.034
155,0.0183,0.7620,0.7590,0.027
156,0.0155,0.7780,0.7550,0.030
157,0.0239,0.7740,0.7680,0.032
158,0.0396,0.7540,0.7490,0.026
159,0.0281,0.7380,0.7540,0.035
160,0.0236,0.7520,0.7590,0.027
161,0.0182,0.7600,0.7510,0.033
162,0.0133,0.7740,0.7370,0.020
163,0.0231,0.7640,0.7440,0.038
164,0.0338,0.7600,0.7420,0.025
165,0.0121,0.7340,0.7330,0.033
166,0.0148,0.7240,0.7350,0.029
167,0.0139,0.7380,0.7540,0.027
168,0.0196,0.7600,0.7660,0.028
169,0.0361,0.7580,0.7750,0.030
170,0.0165,0.7680,0.7730,0.028
171,0.0228,0.7760,0.7650,0.024
172,0.0161,0.7680,0.7630,0.026
173,0.0188,0.7540,0.7530,0.045
174,0.0279,0.7440,0.7340,0.038
175,0.0173,0.7500,0.7380,0.023
176,0.0128,0.7540,0.7460,0.028
177,0.0182,0.7600,0.7690,0.030
178,0.0224,0.7620,0.7730,0.024
179,0.0218,0.7640,0.7700,0.030
180,0.0150,0.7620,0.7630,0.031
181,0.0218,0.7660,0.7600,0.091
182,0.0209,0.7660,0.7600,0.030
183,0.0200,0.7700,0.7700,0.032
184,0.0143,0.7660,0.7790,0.020
185,0.0209,0.7620,0.7630,0.030
186,0.0161,0.7540,0.7550,0.032
187,0.0146,0.7460,0.7400,0.030
188,0.0298,0.7600,0.7550,0.028
189,0.0224,0.7620,0.7610,0.030
190,0.0240,0.7780,0.7710,0.028
191,0.0246,0.7560,0.7680,0.034
192,0.0188,0.7480,0.7700,0.032
193,0.0237,0.7440,0.7660,0.026
194,0.0144,0.7580,0.7540,0.030
195,0.0253,0.7600,0.7610,0.028
196,0.0121,0.7680,0.7440,0.030
197,0.0203,0.7600,0.7400,0.024
198,0.0199,0.7540,0.7560,0.028
199,0.0126,0.7540,0.7590,0.030
