timestep,ep_rew_mean,ep_len_mean,wall_time_s
21,16.2523,20.0,0.4
22,16.2523,20.0,0.4
23,16.2523,20.0,0.5
24,16.2523,20.0,0.5
25,16.2523,20.0,0.5
26,16.2523,20.0,0.5
27,16.2523,20.0,0.5
28,16.2523,20.0,0.6
29,16.2523,20.0,0.6
30,16.2523,20.0,0.6
31,16.2523,20.0,0.6
32,16.2523,20.0,0.6
33,16.2523,20.0,0.7
34,16.2523,20.0,0.7
35,16.2523,20.0,0.7
36,16.2523,20.0,0.7
37,16.2523,20.0,0.7
38,16.2523,20.0,0.7
39,16.2523,20.0,0.8
40,16.2523,20.0,0.8
41,16.2523,20.0,0.8
42,16.2523,20.0,0.8
43,16.2523,20.0,0.8
44,16.2523,20.0,0.8
45,16.2523,20.0,0.9
46,16.2523,20.0,0.9
47,16.2523,20.0,0.9
48,16.2523,20.0,0.9
49,16.2523,20.0,0.9
50,16.2523,20.0,0.9
51,16.2523,20.0,1.0
52,16.2523,20.0,1.0
53,16.2523,20.0,1.0
54,16.2523,20.0,1.0
55,16.2523,20.0,1.1
56,16.2523,20.0,1.1
57,16.2523,20.0,1.1
58,16.2523,20.0,1.1
59,16.2523,20.0,1.1
60,16.2523,20.0,1.1
61,16.2523,20.0,1.2
62,16.2523,20.0,1.2
63,16.2523,20.0,1.2
64,16.2523,20.0,1.2
65,16.2523,20.0,1.2
66,16.2523,20.0,1.3
67,16.2523,20.0,1.3
68,16.2523,20.0,1.3
69,16.2523,20.0,1.3
70,16.2523,20.0,1.3
71,16.2523,20.0,1.4
72,16.2523,20.0,1.4
73,16.2523,20.0,1.4
74,16.2523,20.0,1.4
75,16.2523,20.0,1.4
76,16.2523,20.0,1.4
77,16.2523,20.0,1.4
78,16.2523,20.0,1.5
79,16.2523,20.0,1.5
80,16.2523,20.0,1.5
81,16.2523,20.0,1.5
82,16.2523,20.0,1.5
83,16.2523,20.0,1.5
84,16.2523,20.0,1.6
85,16.2523,20.0,1.6
86,16.2523,20.0,1.6
87,16.2523,20.0,1.6
88,16.2523,20.0,1.6
89,16.2523,20.0,1.6
90,16.2523,20.0,1.7
91,16.2523,20.0,1.7
92,16.2523,20.0,1.7
93,16.2523,20.0,1.7
94,16.2523,20.0,1.7
95,16.2523,20.0,1.7
96,16.2523,20.0,1.8
97,16.2523,20.0,1.8
98,16.2523,20.0,1.8
99,16.2523,20.0,1.8
100,16.2523,20.0,1.8
101,16.2523,20.0,1.8
102,16.2523,20.0,1.9
103,16.2523,20.0,1.9
104,16.2523,20.0,1.9
105,16.2523,20.0,1.9
106,16.2523,20.0,1.9
107,16.2523,20.0,1.9
108,16.2523,20.0,2.0
109,16.2523,20.0,2.0
110,16.2523,20.0,2.0
111,16.2523,20.0,2.0
112,16.2523,20.0,2.0
113,16.2523,20.0,2.0
114,16.2523,20.0,2.1
115,16.2523,20.0,2.1
116,16.2523,20.0,2.1
117,16.2523,20.0,2.1
118,16.2523,20.0,2.1
119,16.2523,20.0,2.2
120,16.2523,20.0,2.2
121,16.2523,20.0,2.2
122,16.2523,20.0,2.2
123,16.2523,20.0,2.2
124,16.2523,20.0,2.2
125,16.2523,20.0,2.3
126,16.2523,20.0,2.3
127,16.2523,20.0,2.3
128,16.2523,20.0,2.3
129,16.2523,20.0,2.3
130,16.2523,20.0,2.3
131,16.2523,20.0,2.4
132,16.2523,20.0,2.4
133,16.2523,20.0,2.4
134,16.2523,20.0,2.4
135,16.2523,20.0,2.4
136,16.2523,20.0,2.5
137,16.2523,20.0,2.5
138,16.2523,20.0,2.5
139,16.2523,20.0,2.5
140,16.2523,20.0,2.5
141,16.2523,20.0,2.5
142,16.2523,20.0,2.6
143,16.2523,20.0,2.6
144,16.2523,20.0,2.6
145,16.2523,20.0,2.6
146,16.2523,20.0,2.6
147,16.2523,20.0,2.7
148,16.2523,20.0,2.7
149,16.2523,20.0,2.7
150,16.2523,20.0,2.7
151,16.2523,20.0,2.7
152,16.2523,20.0,2.7
153,16.2523,20.0,2.8
154,16.2523,20.0,2.8
155,16.2523,20.0,2.8
156,16.2523,20.0,2.8
157,16.2523,20.0,2.9
158,16.2523,20.0,2.9
159,16.2523,20.0,2.9
160,16.2523,20.0,2.9
161,16.2523,20.0,2.9
162,16.2523,20.0,2.9
163,16.2523,20.0,3.0
164,16.2523,20.0,3.0
165,16.2523,20.0,3.0
166,16.2523,20.0,3.0
167,16.2523,20.0,3.0
168,16.2523,20.0,3.0
169,16.2523,20.0,3.1
170,16.2523,20.0,3.1
171,16.2523,20.0,3.1
172,16.2523,20.0,3.1
173,16.2523,20.0,3.1
174,16.2523,20.0,3.1
175,16.2523,20.0,3.2
176,16.2523,20.0,3.2
177,16.2523,20.0,3.2
178,16.2523,20.0,3.2
179,16.2523,20.0,3.2
180,16.2523,20.0,3.3
181,16.2523,20.0,3.3
182,16.2523,20.0,3.3
183,16.2523,20.0,3.3
184,16.2523,20.0,3.3
185,16.2523,20.0,3.3
186,16.2523,20.0,3.4
187,16.2523,20.0,3.4
188,16.2523,20.0,3.4
189,16.2523,20.0,3.4
190,16.2523,20.0,3.4
191,16.2523,20.0,3.4
192,16.2523,20.0,3.5
193,16.2523,20.0,3.5
194,16.2523,20.0,3.5
195,16.2523,20.0,3.5
196,16.2523,20.0,3.5
197,16.2523,20.0,3.5
198,16.2523,20.0,3.6
199,16.2523,20.0,3.6
200,16.2523,20.0,3.6
201,16.2523,20.0,3.6
202,16.2523,20.0,3.7
203,16.2523,20.0,3.7
204,16.2523,20.0,3.7
205,16.2523,20.0,3.7
206,16.2523,20.0,3.8
207,16.2523,20.0,3.8
208,16.2523,20.0,3.8
209,16.2523,20.0,3.8
210,16.2523,20.0,3.8
211,16.2523,20.0,3.8
212,16.2523,20.0,3.9
213,16.2523,20.0,3.9
214,16.2523,20.0,3.9
215,16.2523,20.0,3.9
216,16.2523,20.0,3.9
217,16.2523,20.0,4.0
218,16.2523,20.0,4.0
219,16.2523,20.0,4.0
220,16.2523,20.0,4.0
221,16.2523,20.0,4.0
222,16.2523,20.0,4.1
223,16.2523,20.0,4.1
224,16.2523,20.0,4.1
225,16.2523,20.0,4.1
226,16.2523,20.0,4.1
227,16.2523,20.0,4.1
228,16.2523,20.0,4.2
229,16.2523,20.0,4.2
230,16.2523,20.0,4.2
231,16.2523,20.0,4.2
232,16.2523,20.0,4.2
233,16.2523,20.0,4.3
234,16.2523,20.0,4.3
235,16.2523,20.0,4.3
236,16.2523,20.0,4.3
237,16.2523,20.0,4.3
238,16.2523,20.0,4.4
239,16.2523,20.0,4.4
240,16.2523,20.0,4.4
241,16.2523,20.0,4.4
242,16.2523,20.0,4.4
243,16.2523,20.0,4.5
244,16.2523,20.0,4.5
245,16.2523,20.0,4.5
246,16.2523,20.0,4.5
247,16.2523,20.0,4.5
248,16.2523,20.0,4.5
249,16.2523,20.0,4.5
250,16.2523,20.0,4.6
251,16.2523,20.0,4.6
252,16.2523,20.0,4.6
253,16.2523,20.0,4.6
254,16.2523,20.0,4.6
255,16.2523,20.0,4.7
256,16.2523,20.0,4.7
257,16.2523,20.0,4.7
258,16.2523,20.0,4.7
259,16.2523,20.0,4.7
260,16.2523,20.0,4.8
261,16.2523,20.0,4.8
262,16.2523,20.0,4.8
263,16.2523,20.0,4.8
264,16.2523,20.0,4.8
265,16.2523,20.0,4.8
266,16.2523,20.0,4.8
267,16.2523,20.0,4.9
268,16.2523,20.0,4.9
269,16.2523,20.0,4.9
270,16.2523,20.0,4.9
271,16.2523,20.0,4.9
272,16.2523,20.0,5.0
273,16.2523,20.0,5.0
274,16.2523,20.0,5.0
275,16.2523,20.0,5.0
276,16.2523,20.0,5.0
277,16.2523,20.0,5.1
278,16.2523,20.0,5.1
279,16.2523,20.0,5.1
280,16.2523,20.0,5.1
281,16.2523,20.0,5.1
282,16.2523,20.0,5.1
283,16.2523,20.0,5.2
284,16.2523,20.0,5.2
285,16.2523,20.0,5.2
286,16.2523,20.0,5.2
287,16.2523,20.0,5.2
288,16.2523,20.0,5.3
289,16.2523,20.0,5.3
290,16.2523,20.0,5.3
291,16.2523,20.0,5.3
292,16.2523,20.0,5.3
293,16.2523,20.0,5.3
294,16.2523,20.0,5.4
295,16.2523,20.0,5.4
296,16.2523,20.0,5.4
297,16.2523,20.0,5.4
298,16.2523,20.0,5.4
299,16.2523,20.0,5.5
300,16.2523,20.0,5.5
301,16.2523,20.0,5.5
302,16.2523,20.0,5.5
303,16.2523,20.0,5.5
304,16.2523,20.0,5.5
305,16.2523,20.0,5.6
306,16.2523,20.0,5.6
307,16.2523,20.0,5.6
308,16.2523,20.0,5.6
309,16.2523,20.0,5.6
310,16.2523,20.0,5.6
311,16.2523,20.0,5.7
312,16.2523,20.0,5.7
313,16.2523,20.0,5.7
314,16.2523,20.0,5.7
315,16.2523,20.0,5.7
316,16.2523,20.0,5.8
317,16.2523,20.0,5.8
318,16.2523,20.0,5.8
319,16.2523,20.0,5.8
320,16.2523,20.0,5.8
321,16.2523,20.0,5.8
322,16.2523,20.0,5.9
323,16.2523,20.0,5.9
324,16.2523,20.0,5.9
325,16.2523,20.0,5.9
326,16.2523,20.0,5.9
327,16.2523,20.0,6.0
328,16.2523,20.0,6.0
329,16.2523,20.0,6.0
330,16.2523,20.0,6.0
331,16.2523,20.0,6.0
332,16.2523,20.0,6.0
333,16.2523,20.0,6.1
334,16.2523,20.0,6.1
335,16.2523,20.0,6.1
336,16.2523,20.0,6.1
337,16.2523,20.0,6.1
338,16.2523,20.0,6.2
339,16.2523,20.0,6.2
340,16.2523,20.0,6.2
341,16.2523,20.0,6.2
342,16.2523,20.0,6.2
343,16.2523,20.0,6.2
344,16.2523,20.0,6.3
345,16.2523,20.0,6.3
346,16.2523,20.0,6.3
347,16.2523,20.0,6.3
348,16.2523,20.0,6.3
349,16.2523,20.0,6.4
350,16.2523,20.0,6.4
351,16.2523,20.0,6.4
352,16.2523,20.0,6.4
353,16.2523,20.0,6.4
354,16.2523,20.0,6.5
355,16.2523,20.0,6.5
356,16.2523,20.0,6.5
357,16.2523,20.0,6.5
358,16.2523,20.0,6.5
359,16.2523,20.0,6.6
360,16.2523,20.0,6.6
361,16.2523,20.0,6.6
362,16.2523,20.0,6.6
363,16.2523,20.0,6.7
364,16.2523,20.0,6.7
365,16.2523,20.0,6.7
366,16.2523,20.0,6.7
367,16.2523,20.0,6.7
368,16.2523,20.0,6.8
369,16.2523,20.0,6.8
370,16.2523,20.0,6.8
371,16.2523,20.0,6.8
372,16.2523,20.0,6.8
373,16.2523,20.0,6.9
374,16.2523,20.0,6.9
375,16.2523,20.0,6.9
376,16.2523,20.0,6.9
377,16.2523,20.0,6.9
378,16.2523,20.0,6.9
379,16.2523,20.0,7.0
380,16.2523,20.0,7.0
381,16.2523,20.0,7.0
382,16.2523,20.0,7.0
383,16.2523,20.0,7.1
384,16.2523,20.0,7.1
385,16.2523,20.0,7.1
386,16.2523,20.0,7.1
387,16.2523,20.0,7.1
388,16.2523,20.0,7.2
389,16.2523,20.0,7.2
390,16.2523,20.0,7.2
391,16.2523,20.0,7.2
392,16.2523,20.0,7.2
393,16.2523,20.0,7.3
394,16.2523,20.0,7.3
395,16.2523,20.0,7.3
396,16.2523,20.0,7.3
397,16.2523,20.0,7.3
398,16.2523,20.0,7.3
399,16.2523,20.0,7.4
400,16.2523,20.0,7.4
401,16.2523,20.0,7.4
402,16.2523,20.0,7.4
403,16.2523,20.0,7.4
404,16.2523,20.0,7.4
405,16.2523,20.0,7.5
406,16.2523,20.0,7.5
407,16.2523,20.0,7.5
408,16.2523,20.0,7.5
409,16.2523,20.0,7.5
410,16.2523,20.0,7.6
411,16.2523,20.0,7.6
412,16.2523,20.0,7.6
413,16.2523,20.0,7.6
414,16.2523,20.0,7.6
415,16.2523,20.0,7.6
416,16.2523,20.0,7.7
417,16.2523,20.0,7.7
418,16.2523,20.0,7.7
419,16.2523,20.0,7.7
420,16.2523,20.0,7.7
421,16.2523,20.0,7.7
422,16.2523,20.0,7.8
423,16.2523,20.0,7.8
424,16.2523,20.0,7.8
425,16.2523,20.0,7.8
426,16.2523,20.0,7.8
427,16.2523,20.0,7.8
428,16.2523,20.0,7.9
429,16.2523,20.0,7.9
430,16.2523,20.0,7.9
431,16.2523,20.0,7.9
432,16.2523,20.0,7.9
433,16.2523,20.0,8.0
434,16.2523,20.0,8.0
435,16.2523,20.0,8.0
436,16.2523,20.0,8.0
437,16.2523,20.0,8.0
438,16.2523,20.0,8.1
439,16.2523,20.0,8.1
440,16.2523,20.0,8.1
441,16.2523,20.0,8.1
442,16.2523,20.0,8.1
443,16.2523,20.0,8.1
444,16.2523,20.0,8.2
445,16.2523,20.0,8.2
446,16.2523,20.0,8.2
447,16.2523,20.0,8.2
448,16.2523,20.0,8.2
449,16.2523,20.0,8.2
450,16.2523,20.0,8.3
451,16.2523,20.0,8.3
452,16.2523,20.0,8.3
453,16.2523,20.0,8.3
454,16.2523,20.0,8.3
455,16.2523,20.0,8.4
456,16.2523,20.0,8.4
457,16.2523,20.0,8.4
458,16.2523,20.0,8.4
459,16.2523,20.0,8.4
460,16.2523,20.0,8.4
461,16.2523,20.0,8.5
462,16.2523,20.0,8.5
463,16.2523,20.0,8.5
464,16.2523,20.0,8.5
465,16.2523,20.0,8.5
466,16.2523,20.0,8.6
467,16.2523,20.0,8.6
468,16.2523,20.0,8.6
469,16.2523,20.0,8.6
470,16.2523,20.0,8.6
471,16.2523,20.0,8.6
472,16.2523,20.0,8.7
473,16.2523,20.0,8.7
474,16.2523,20.0,8.7
475,16.2523,20.0,8.7
476,16.2523,20.0,8.7
477,16.2523,20.0,8.7
478,16.2523,20.0,8.8
479,16.2523,20.0,8.8
480,16.2523,20.0,8.8
481,16.2523,20.0,8.8
482,16.2523,20.0,8.8
483,16.2523,20.0,8.8
484,16.2523,20.0,8.9
485,16.2523,20.0,8.9
486,16.2523,20.0,8.9
487,16.2523,20.0,8.9
488,16.2523,20.0,8.9
489,16.2523,20.0,9.0
490,16.2523,20.0,9.0
491,16.2523,20.0,9.0
492,16.2523,20.0,9.0
493,16.2523,20.0,9.0
494,16.2523,20.0,9.0
495,16.2523,20.0,9.0
496,16.2523,20.0,9.1
497,16.2523,20.0,9.1
498,16.2523,20.0,9.1
499,16.2523,20.0,9.1
500,16.2523,20.0,9.1
501,16.2523,20.0,9.2
502,16.2523,20.0,9.2
503,16.2523,20.0,9.2
